1,Potla,10065.7
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,HD,474.888,0.9964285714285714,Grade.SH,1426,1426
If You Can't Hang,409025,https://osu.ppy.sh/beatmaps/888010,NM,423.75,0.9958258795468098,Grade.S,1416,1417
Save Me,866472,https://osu.ppy.sh/beatmaps/1811527,NM,404.585,0.9849693251533742,Grade.A,4226,4312
KIZUNA MUSIC,1425749,https://osu.ppy.sh/beatmaps/2935781,NM,399.545,0.9964646464646465,Grade.S,1866,1866
Soundscape,534054,https://osu.ppy.sh/beatmaps/2272898,NM,394.258,0.9861317483902923,Grade.A,1584,1732
10,BlueRo,7779.04
Toumei Elegy,219380,https://osu.ppy.sh/beatmaps/790048,NM,466.903,0.9886578449905482,Grade.S,1426,1426
Daidai Genome,700726,https://osu.ppy.sh/beatmaps/1483372,HDDT,428.329,0.9976567076742824,Grade.SH,717,717
Rockefeller Street (Nightcore Mix),942866,https://osu.ppy.sh/beatmaps/1970565,HDDT,399.369,0.9689497716894977,Grade.SH,502,503
Patchwork Staccato,416702,https://osu.ppy.sh/beatmaps/1962068,HDDT,392.973,0.9887329931972789,Grade.SH,1032,1032
Zan'ei,1759729,https://osu.ppy.sh/beatmaps/3601629,NM,392.65,0.99375,Grade.A,1328,1426
11,ArtoriaMyAngel,7590.39
Storytellers,311328,https://osu.ppy.sh/beatmaps/1476606,HD,412.579,0.9917864476386037,Grade.SH,1354,1354
KARMANATIONS,1283387,https://osu.ppy.sh/beatmaps/2665294,HD,404.092,0.9937460913070669,Grade.SH,1400,1404
Namikare,1174754,https://osu.ppy.sh/beatmaps/2450295,NM,402.361,0.9965126416739319,Grade.S,1604,1604
FIRST,171388,https://osu.ppy.sh/beatmaps/467689,HR,402.003,0.9841269841269841,Grade.S,1069,1071
Love Infection,1747369,https://osu.ppy.sh/beatmaps/3574158,HD,401.896,0.9914199914199914,Grade.SH,1037,1053
12,BruhMoment,7588.08
